0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
JLPT-N1	102	途中	とちゅう	Noun, Adverbial noun	1.-on the way; en route; halfway	2.-in the middle of; midway																								
JLPT-N1	103	起こす	お	Godan verb with su ending, Transitive verb	1.-to raise; to raise up; to set up; to pick up	2.-to wake; to wake up; to waken; to awaken	3.-to cause; to bring about; to lead to; to trigger; to give rise to; to create; to generate (e.g. heat, electricity); to produce	4.-to start; to begin; to launch; to establish; to found; to set up; to open	5.-to plough; to plow; to till	6.-to fall ill with	7.-to transcribe; to write down (what is spoken)	8.-to turn over (a card)																		
JLPT-N1	104	死	し	Noun, Noun - used as a suffix	1.-death; decease	2.-death penalty (by strangulation or decapitation)	3.-(an) out	4.-Death																						
JLPT-N1	105	上がる	あ	Godan verb with ru ending, intransitive verb	1.-to rise; to go up; to come up; to ascend; to be raised	2.-to enter (esp. from outdoors); to come in; to go in	3.-to enter (a school); to advance to the next grade	4.-to get out (of water); to come ashore	5.-to increase	6.-to improve; to make progress	7.-to be promoted; to advance	8.-to be made (of profit, etc.)	9.-to occur (esp. of a favourable result)	10.-to be adequate (to cover expenses, etc.)	11.-to be finished; to be done; to be over	12.-(of rain) to stop; to lift	13.-to stop (working properly); to cut out; to give out; to die	14.-to win (in a card game, etc.)	15.-to be arrested	16.-to turn up (of evidence, etc.)	17.-to be deep fried	18.-to be spoken loudly	19.-to get nervous; to get stage fright	20.-to be offered (to the gods, etc.)	21.-to go; to visit	22.-to eat; to drink	23.-to be listed (as a candidate)	24.-to serve (in one's master's home)	25.-to go north	26.-to be complete; to finish
JLPT-N1	106	答え	こた	Noun	1.-answer; reply; response; solution																									
JLPT-N1	107	説得	せっとく	Noun, Suru verb	1.-persuasion	2.-Persuasion																								
JLPT-N1	108	助言	じょげん	Noun, Suru verb, No-adjective	1.-advice; suggestion	2.-Advice (constitutional)																								
JLPT-N1	109	理論	りろん	Noun	1.-theory	2.-Theory																								
JLPT-N1	110	怒り	いか	Noun	1.-anger; rage; fury; wrath; indignation	2.-Anger																								
JLPT-N1	111	集まる	あつ	Godan verb with ru ending, intransitive verb	1.-to gather; to collect; to assemble																									
JLPT-N1	112	落とす	お	Godan verb with su ending, Transitive verb	1.-to drop; to lose; to let fall; to shed (light); to cast (one's gaze); to pour in (liquid); to leave behind	2.-to clean off (dirt, makeup, paint, etc.); to remove (e.g. stains or facial hair); to lose; to spend money at a certain place; to omit; to leave out; to secretly let escape	3.-to lose (a match); to reject (an applicant); to fail (a course); to defeat (in an election)	4.-to lower (e.g. shoulders or voice); to lessen (e.g. production or body weight); to worsen (quality); to reduce (e.g. rank or popularity); to speak badly of; to make light of; to fall into straitened circumstances	5.-to fall into (e.g. a dilemma or sin); to make one's own; to have one's bid accepted; to force surrender; to take (e.g. an enemy camp or castle); to forcefully convince; to press for a confession; to deal with	6.-to download; to copy from a computer to another medium	7.-to make someone swoon (judo)	8.-to finish a story (e.g. with the punch line)	9.-to finish (a period, e.g. of fasting)																	
JLPT-N1	113	秘書	ひしょ	Noun, No-adjective	1.-(private) secretary	2.-treasured book; secret book	3.-Secretary																							
JLPT-N1	114	紳士	しんし	Noun	1.-gentleman	2.-Gentleman																								
JLPT-N1	115	証拠	しょうこ	Noun	1.-evidence; proof	2.-Evidence (law)																								
JLPT-N1	116	大事	だいじ	Na-adjective	1.-important; serious; crucial	2.-valuable; precious	3.-serious matter; major incident; matter of grave concern; crisis	4.-great undertaking; great enterprise; great thing	5.-safe; OK																					
JLPT-N1	117	下がる	さ	Godan verb with ru ending, intransitive verb	1.-to come down; to go down; to fall; to drop; to sink; to get lower	2.-to hang; to dangle	3.-to move back; to step back; to withdraw; to retire	4.-to deteriorate; to fall off; to be downgraded	5.-to get closer to the present day	6.-to go south																				
JLPT-N1	118	決まる	き	Godan verb with ru ending, intransitive verb	1.-to be decided; to be settled	2.-to look good in (clothes)																								
JLPT-N1	119	選挙	せんきょ	Noun, Suru verb, No-adjective	1.-election	2.-Election																								
JLPT-N1	120	運命	うんめい	Noun	1.-fate; destiny; lot	2.-Destiny																								
JLPT-N1	121	可笑しい	おか	I-adjective	1.-funny; amusing; comical; laughable; ridiculous	2.-strange; odd; funny; peculiar; weird; unusual; eccentric	3.-improper; unsuitable; unbecoming	4.-suspicious																						
JLPT-N1	122	世	よ	Noun	1.-world; society; public	2.-life; lifetime	3.-age; era; period; epoch; generation	4.-reign; rule	5.-the times	6.-world (of existence)	7.-Series (stratigraphy)																			
JLPT-N1	123	天才	てんさい	Noun	1.-genius; prodigy; natural gift	2.-Genius																								
JLPT-N1	124	富	とみ	Noun	1.-riches; wealth; fortune	2.-resources	3.-lottery	4.-Wealth																						
JLPT-N1	125	取引	とりひき	Noun, Suru verb	1.-transactions; dealings; business	2.-Trade																								
JLPT-N1	126	階	かい	Noun, Noun - used as a suffix	1.-storey; story; floor	2.-stairs	3.-stage (in chronostratigraphy)	4.-counter for storeys and floors of a building	5.-Storey																					
